frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,rapidfem_skin_s11_db,slide12_reference_s11_db,error_db,n_tets,n_dofs
6.500000000000000000e+08,4.313366666666666305e+01,7.827733333333333210e-01,7.318644423054761379e-03,-1.779262140412809709e-02,-3.431634058428966227e+01,-3.410433070866142202e+01,-2.120098756282402519e-01,6.208000000000000000e+03,3.991800000000000000e+04
6.750000000000000000e+08,4.290800000000000125e+01,7.914200000000000124e-01,7.166927371539770324e-03,-1.834356346104441121e-02,-3.411334895909455867e+01,-2.859197287839022295e+01,-5.521376080704335720e+00,6.208000000000000000e+03,3.991800000000000000e+04
7.000000000000000000e+08,4.269800000000000040e+01,7.999733333333333141e-01,7.022628698401718779e-03,-1.889131785852436046e-02,-3.391260931700804804e+01,-2.442913385826770778e+01,-9.483475458740340258e+00,6.208000000000000000e+03,3.991800000000000000e+04
7.500000000000000000e+08,4.231600000000000250e+01,8.168999999999999595e-01,6.747470087223224507e-03,-1.998373689784009241e-02,-3.351758979579260256e+01,-2.039260717410323309e+01,-1.312498262168936947e+01,6.208000000000000000e+03,3.991800000000000000e+04
8.000000000000000000e+08,4.197833333333333172e+01,8.336233333333333828e-01,6.481901229222579268e-03,-2.107348922677073147e-02,-3.313268132369971397e+01,-1.896325459317585072e+01,-1.416942673052386326e+01,6.208000000000000000e+03,3.991800000000000000e+04
9.000000000000000000e+08,4.140500000000000114e+01,8.667599999999999749e-01,5.973454508573894373e-03,-2.324636987402672189e-02,-3.239520314798873812e+01,-1.866141732283464449e+01,-1.373378582515409363e+01,6.208000000000000000e+03,3.991800000000000000e+04
1.000000000000000000e+09,4.093633333333333013e+01,8.997933333333333339e-01,5.483984959302301565e-03,-2.541518647521615396e-02,-3.170049581345794110e+01,-1.752405949256343121e+01,-1.417643632089450989e+01,6.208000000000000000e+03,3.991800000000000000e+04
1.200000000000000000e+09,4.020799999999999841e+01,9.666700000000000292e-01,4.549858095390805872e-03,-2.976829172538973320e-02,-3.042463392846488546e+01,-1.395450568678914927e+01,-1.647012824167573797e+01,6.208000000000000000e+03,3.991800000000000000e+04
1.400000000000000000e+09,3.966100000000000136e+01,1.035866666666666713e+00,3.603150760532784162e-03,-3.419510256574900126e-02,-2.927276815785027608e+01,-1.181102362204724443e+01,-1.746174453580303165e+01,6.208000000000000000e+03,3.991800000000000000e+04
1.600000000000000000e+09,3.922866666666666902e+01,1.108333333333333393e+00,2.593672880364957575e-03,-3.870014583770783195e-02,-2.822628468977221061e+01,-1.039370078740157410e+01,-1.783258390237063651e+01,6.208000000000000000e+03,3.991800000000000000e+04
1.800000000000000000e+09,3.887199999999999989e+01,1.184700000000000086e+00,1.465868012881584416e-03,-4.327543707688158436e-02,-2.727019059595343009e+01,-9.256342957130359039e+00,-1.801384763882307283e+01,6.208000000000000000e+03,3.991800000000000000e+04
2.000000000000000000e+09,3.856800000000000495e+01,1.265466666666666740e+00,1.416057201178618494e-04,-4.789045090414253275e-02,-2.639498350780623070e+01,-8.110236220472440749e+00,-1.828474728733378996e+01,6.208000000000000000e+03,3.991800000000000000e+04
