"Frequency [GHz]" 	"Bulk Conductivity"
0.00036249999999999998 	0.0026050000000000001
0.00036499999999999998 	0.0026335999999999998
0.00036749999999999999 	0.0026624000000000001
0.00036999999999999999 	0.0026913000000000002
0.0003725 	0.0027203000000000001
0.00037500000000000001 	0.0027493999999999999
0.00037750000000000001 	0.0027786999999999998
0.00038000000000000002 	0.0028081
0.00038249999999999997 	0.0028376
0.00038499999999999998 	0.0028673000000000001
0.00038749999999999999 	0.0028971000000000001
0.00038999999999999999 	0.0029269999999999999
0.0003925 	0.002957
0.00039500000000000001 	0.0029872000000000002
0.00039750000000000001 	0.0030175000000000002
0.00040000000000000002 	0.0030479000000000001
0.00040250000000000003 	0.0030785000000000001
0.00040499999999999998 	0.0031091999999999999
0.00040749999999999998 	0.00314
0.00040999999999999999 	0.0031708999999999999
