"Frequency [GHz]" 	"Relative Permittivity"
0.000175 	1108.4000000000001
0.0001775 	1108
0.00018000000000000001 	1107.5999999999999
0.00018249999999999999 	1107.3
0.000185 	1106.9000000000001
0.0001875 	1106.5999999999999
0.00019000000000000001 	1106.2
0.00019249999999999999 	1105.9000000000001
0.000195 	1105.5
0.0001975 	1105.0999999999999
0.00020000000000000001 	1104.8
0.00020249999999999999 	1104.4000000000001
0.000205 	1104.0999999999999
0.0002075 	1103.7
0.00021000000000000001 	1103.4000000000001
0.00021249999999999999 	1103
0.00021499999999999999 	1102.5999999999999
0.0002175 	1102.3
0.00022000000000000001 	1101.9000000000001
0.00022249999999999999 	1101.5999999999999
0.00022499999999999999 	1101.2
0.0002275 	1100.9000000000001
0.00023000000000000001 	1100.5
0.00023250000000000001 	1100.2
0.00023499999999999999 	1099.8
0.0002375 	1099.4000000000001
0.00024000000000000001 	1099.0999999999999
0.00024250000000000001 	1098.7
0.00024499999999999999 	1098.4000000000001
0.0002475 	1098
0.00025000000000000001 	1097.7
0.00025250000000000001 	1097.3
0.00025500000000000002 	1096.9000000000001
0.00025750000000000002 	1096.5999999999999
0.00025999999999999998 	1096.2
0.00026249999999999998 	1095.9000000000001
0.00026499999999999999 	1095.5
0.0002675 	1095.2
0.00027 	1094.8
0.00027250000000000001 	1094.5
0.00027500000000000002 	1094.0999999999999
0.00027750000000000002 	1093.7
0.00027999999999999998 	1093.4000000000001
0.00028249999999999998 	1093
0.00028499999999999999 	1092.7
0.0002875 	1092.3
0.00029 	1092
0.00029250000000000001 	1091.5999999999999
0.00029500000000000001 	1091.3
0.00029750000000000002 	1090.9000000000001
0.00029999999999999997 	1090.5
0.00030249999999999998 	1090.2
0.00030499999999999999 	1089.8
0.00030749999999999999 	1089.5
0.00031 	1089.0999999999999
0.00031250000000000001 	1088.8
0.00031500000000000001 	1088.4000000000001
0.00031750000000000002 	1088
0.00032000000000000003 	1087.7
0.00032249999999999998 	1087.3
0.00032499999999999999 	1087
0.00032749999999999999 	1086.5999999999999
0.00033 	1086.3
0.0003325 	1085.9000000000001
0.00033500000000000001 	1085.5999999999999
0.00033750000000000002 	1085.2
0.00034000000000000002 	1084.8
0.00034249999999999998 	1084.5
0.00034499999999999998 	1084.0999999999999
0.00034749999999999999 	1083.8
0.00035 	1083.4000000000001
0.0003525 	1083.0999999999999
0.00035500000000000001 	1082.7
0.00035750000000000002 	1082.3
0.00036000000000000002 	1082
0.00036249999999999998 	1081.5999999999999
0.00036499999999999998 	1081.3
0.00036749999999999999 	1080.9000000000001
0.00036999999999999999 	1080.5999999999999
0.0003725 	1080.2
0.00037500000000000001 	1079.9000000000001
0.00037750000000000001 	1079.5
0.00038000000000000002 	1079.0999999999999
0.00038249999999999997 	1078.8
0.00038499999999999998 	1078.4000000000001
0.00038749999999999999 	1078.0999999999999
0.00038999999999999999 	1077.7
0.0003925 	1077.4000000000001
0.00039500000000000001 	1077
0.00039750000000000001 	1076.5999999999999
0.00040000000000000002 	1076.3
0.00040250000000000003 	1075.9000000000001
0.00040499999999999998 	1075.5999999999999
0.00040749999999999998 	1075.2
0.00040999999999999999 	1074.9000000000001
0.0004125 	1074.5
0.000415 	1074.0999999999999
0.00041750000000000001 	1073.8
0.00042000000000000002 	1073.4000000000001
0.00042250000000000002 	1073.0999999999999
0.00042499999999999998 	1072.7
0.00042749999999999998 	1072.4000000000001
0.00042999999999999999 	1072
0.0004325 	1071.5999999999999
0.000435 	1071.3
0.00043750000000000001 	1070.9000000000001
0.00044000000000000002 	1070.5999999999999
0.00044250000000000002 	1070.2
0.00044499999999999997 	1069.9000000000001
0.00044749999999999998 	1069.5
0.00044999999999999999 	1069.0999999999999
0.00045249999999999999 	1068.8
0.000455 	1068.4000000000001
0.00045750000000000001 	1068.0999999999999
0.00046000000000000001 	1067.7
0.00046250000000000002 	1067.4000000000001
0.00046500000000000003 	1067
0.00046749999999999998 	1066.5999999999999
0.00046999999999999999 	1066.3
0.00047249999999999999 	1065.9000000000001
0.000475 	1065.5999999999999
0.00047750000000000001 	1065.2
0.00048000000000000001 	1064.9000000000001
0.00048250000000000002 	1064.5
0.00048500000000000003 	1064.0999999999999
0.00048749999999999998 	1063.8
0.00048999999999999998 	1063.4000000000001
0.00049249999999999999 	1063.0999999999999
0.000495 	1062.7
0.0004975 	1062.4000000000001
0.00050000000000000001 	1062
0.00050750000000000003 	1060.9000000000001
0.00051500000000000005 	1059.9000000000001
0.00052249999999999996 	1058.8
0.00052999999999999998 	1057.7
0.0005375 	1056.5999999999999
0.00054500000000000002 	1055.5999999999999
0.00055250000000000004 	1054.5
0.00055999999999999995 	1053.4000000000001
0.00056749999999999997 	1052.3
0.00057499999999999999 	1051.3
0.00058250000000000001 	1050.2
0.00059000000000000003 	1049.0999999999999
0.00059750000000000005 	1048
0.00060499999999999996 	1047
0.00061249999999999998 	1045.9000000000001
0.00062 	1044.8
0.00062750000000000002 	1043.7
0.00063500000000000004 	1042.7
0.00064249999999999995 	1041.5999999999999
0.00064999999999999997 	1040.5
0.00065749999999999999 	1039.5
0.00066500000000000001 	1038.4000000000001
0.00067250000000000003 	1037.3
0.00068000000000000005 	1036.2
0.00068749999999999996 	1035.2
0.00069499999999999998 	1034.0999999999999
0.0007025 	1033
0.00071000000000000002 	1031.9000000000001
0.00071750000000000004 	1030.9000000000001
0.00072499999999999995 	1029.8
0.00073249999999999997 	1028.7
0.00073999999999999999 	1027.7
0.00074750000000000001 	1026.5999999999999
0.00075500000000000003 	1025.5
0.00076250000000000005 	1024.4000000000001
0.00076999999999999996 	1023.4
0.00077749999999999998 	1022.3
0.000785 	1021.2
0.00079250000000000002 	1020.2
0.00080000000000000004 	1019.1
0.00080749999999999995 	1018
0.00081499999999999997 	1017
0.00082249999999999999 	1015.9
0.00083000000000000001 	1014.8
0.00083750000000000003 	1013.8
0.00084500000000000005 	1012.7
0.00085249999999999996 	1011.6
0.00085999999999999998 	1010.6
0.0008675 	1009.5
0.00087500000000000002 	1008.4
0.00088250000000000004 	1007.4
0.00088999999999999995 	1006.3
0.00089749999999999997 	1005.2
0.00090499999999999999 	1004.2
0.00091250000000000001 	1003.1
0.00092000000000000003 	1002.1
0.00092750000000000005 	1001
0.00093499999999999996 	999.92999999999995
0.00094249999999999998 	998.87
0.00095 	997.80999999999995
0.00095750000000000002 	996.75
0.00096500000000000004 	995.69000000000005
0.00097249999999999995 	994.63
0.00097999999999999997 	993.57000000000005
0.0009875000000000001 	992.51999999999998
0.00099500000000000001 	991.46000000000004
0.0010024999999999999 	990.39999999999998
0.00101 	989.35000000000002
0.0010175 	988.28999999999996
0.0010250000000000001 	987.24000000000001
0.0010325 	986.19000000000005
0.0010399999999999999 	985.13
0.0010475 	984.08000000000004
0.0010549999999999999 	983.02999999999997
0.0010625000000000001 	981.98000000000002
0.00107 	980.92999999999995
0.0010774999999999999 	979.88
0.001085 	978.83000000000004
